Event	ID	Name			Wwise Object Path	Notes
	437304868	Robot_Kill_or_Hit_Player			\Default Work Unit\Dialogue\Enemy\Robot_Kill_or_Hit_Player	
	1027391417	Searching_For_Human			\Default Work Unit\Dialogue\Enemy\Searching_For_Human	
	1799648038	Goblin_Detect			\Default Work Unit\Dialogue\Enemy\Goblin_Detect	
	2106428477	Human_Detected			\Default Work Unit\Dialogue\Enemy\Human_Detected	
	3122074043	Robot_Insult			\Default Work Unit\Dialogue\Enemy\Robot_Insult	
	3344543189	Human_Lost			\Default Work Unit\Dialogue\Enemy\Human_Lost	
	3456469455	Goblin_Lost_Sight			\Default Work Unit\Dialogue\Enemy\Goblin_Lost_Sight	
	3701845373	Intro_Script			\Default Work Unit\Dialogue\Intro\Intro_Script	
	3732585223	Goblin_Death_Sound			\Default Work Unit\Dialogue\Enemy\Goblin_Death_Sound	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21313093	GoblinDetect1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDetect1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Detect\GoblinDetect1		386792
	65010938	GoblinDeath3	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath3_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath3		93840
	101911425	HumanLost1_Robot	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\HumanLost1_Robot_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Human_Lost\HumanLost1_Robot		239528
	151765555	GoblinDeath7	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath7_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath7		136364
	235400983	HumanLost2_Robot	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\HumanLost2_Robot_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Human_Lost\HumanLost2_Robot		681316
	244499503	GoblinLostSight1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinLostSight1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Lost_Sight\GoblinLostSight1		356864
	285975101	SearchingForHuman2_Robot	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\SearchingForHuman2_Robot_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Searching_For_Human\SearchingForHuman2_Robot		456092
	421518787	HumanScum_Robot1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\HumanScum_Robot1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Human_Detected\HumanScum_Robot1		340328
	425111805	GoblinDetect2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDetect2_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Detect\GoblinDetect2		366316
	521747591	GoblinDeath4	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath4_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath4		82816
	540861767	GoblinDeath5	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath5_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath5		92264
